date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:58:38	46354/46354	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2005:58:38%20GMT	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html	(from )
10:58:39	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2005:58:38%20GMT	http://lmpixels.com/robots.txt		(from )
10:58:39	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5474bb1672700%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/favicon.ico	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/favicon.ico	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:40	146010/146010	---MCZ	200	added ('OK')	text/css	etag:W/%2257960bc8-23a5a%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/bootstrap.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/bootstrap.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:40	9058/9058	---MCZ	200	added ('OK')	text/css	etag:W/%224f5c224a-2362%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/normalize.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/normalize.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:40	42135/42135	---MCZ	200	added ('OK')	text/css	etag:W/%2255899242-a497%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/transition-animations.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/transition-animations.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:40	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/owl.carousel.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/owl.carousel.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:41	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/magnific-popup.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/magnific-popup.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:41	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%22588a2ba0-11a43%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/animate.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/animate.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:41	40036/40036	---MCZ	200	added ('OK')	text/css	etag:W/%225911ce08-9c64%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/main.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/css/main.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:42	3674/3674	---MCZ	200	added ('OK')	text/css	etag:W/%2258c04d0c-e5a%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/preview/lmpixels-demo-panel.css	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/preview/lmpixels-demo-panel.css	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:44	9599/9599	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/js/modernizr.custom.js	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/js/modernizr.custom.js	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:45	762/762	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Jul%202018%2005:58:44%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/admin/Desktop/My%20Portfolio/www.google.com/recaptcha/api.js	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:46	84322/84322	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258c02818-14962%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/js/jquery-2.1.3.min.js	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/js/jquery-2.1.3.min.js	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:53	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/admin/Desktop/My%20Portfolio/www.google-analytics.com/analytics.js	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:53	28418/28418	---M--	200	added ('OK')	image/png	etag:%2258a2ff0a-6f02%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/images/testimonials/testimonila_photo_2.png	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/images/testimonials/testimonila_photo_2.png	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
10:58:53	32543/32543	---M--	200	added ('OK')	image/png	etag:%22588b6464-7f1f%22	http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/images/my_photo.png	C:/Users/admin/Desktop/My%20Portfolio/lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/images/my_photo.png	(from http://lmpixels.com/demo/sunshine-demo/sunshine-version-2/sunshine-html-template-orange/index.html)
